Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
10.299,1531.532,1531.532,130.404,131.396,-39.036,39.254,146.389,0.056,146.389,89.978,16.114,4.134,28.61,-80.599,0.004,-2.592e-4,0.842,-0.117,82.077,89.962,1169.027,343,0.162,0.001,9.787,97.205,70.447,2.676,0,0,34.527,0.481,0.259,0.082,0.14,0.481,7.659e-4,0.003,3.009e-4,0,0,0,0,5.235e-6,2.043,90,5.045,842.368,0.001,334.356,0.394,1.001e7,10,78.54,0.05,0.055,0.017
10.349,1538.004,1538.004,128.475,129.457,-38.14,38.341,147.19,0.057,147.19,89.978,15.913,3.915,28.61,-80.598,0.006,-2.609e-4,-0.766,0.027,82.035,89.968,1169.027,343,0.162,0.001,9.787,97.192,70.447,2.674,0,0,33.455,0.48,0.259,0.082,0.14,0.48,0.001,0.003,-2.266e-4,0,0,0,0,-4.468e-6,2.051,90,5.003,841.713,0.001,334.331,0.388,9.856e6,10,78.54,0.05,0.055,0.017
10.399,1544.38,1544.38,126.589,127.562,-37.276,37.46,147.981,0.058,147.981,89.978,15.725,3.708,28.61,-80.598,0.014,-2.598e-4,0.101,-0.004,82.019,89.971,1169.027,343,0.162,0.001,9.787,97.174,70.447,2.673,0,0,32.421,0.48,0.259,0.082,0.139,0.48,0.003,0.007,2.802e-4,0,0,0,0,7.92e-8,1.992,90,4.962,841.068,0.001,334.306,0.382,9.707e6,10,78.54,0.05,0.055,0.016
10.449,1550.663,1550.663,124.749,125.711,-36.379,36.602,148.762,0.058,148.762,89.978,15.528,4.034,28.61,-80.598,0.026,-2.608e-4,0.567,-0.041,82.015,89.965,1169.027,343,0.162,0.001,9.787,97.155,70.447,2.671,0,0,31.435,0.479,0.259,0.082,0.138,0.479,0.005,0.014,1.665e-4,0,0,0,0,2.594e-6,2.029,90,4.921,840.432,0.001,334.281,0.377,9.562e6,10,78.54,0.05,0.055,0.016
10.499,1556.856,1556.856,122.95,123.902,-35.592,35.797,149.533,0.059,149.533,89.978,15.33,3.825,28.61,-80.598,0.014,-2.593e-4,1.994,-0.068,81.943,89.961,1169.027,343,0.162,0.001,9.787,97.153,70.447,2.671,0,0,30.491,0.478,0.259,0.081,0.138,0.478,0.003,0.007,-2.035e-4,0,0,0,0,3.302e-5,2.105,90,4.88,839.805,0.001,334.256,0.372,9.421e6,10,78.54,0.05,0.055,0.016
10.549,1562.959,1562.959,121.188,122.132,-34.87,35.034,150.295,0.059,150.295,89.977,15.152,3.379,28.61,-80.598,0.022,-2.611e-4,-1.564,0.015,81.848,89.968,1169.027,343,0.162,0.001,9.787,97.138,70.447,2.669,0,0,29.581,0.478,0.259,0.081,0.137,0.478,0.004,0.011,-4.535e-4,0,0,0,0,-2.092e-5,2.161,90,4.841,839.188,0.001,334.232,0.366,9.283e6,10,78.54,0.05,0.055,0.016
10.599,1568.975,1568.975,119.463,120.399,-34.109,34.279,151.049,0.06,151.049,89.977,14.984,3.409,28.61,-80.598,0.011,-2.652e-4,-0.453,0.035,81.803,89.967,1169.027,343,0.162,0.001,9.787,97.137,70.447,2.669,0,0,28.706,0.477,0.259,0.081,0.137,0.477,0.002,0.005,2.937e-4,0,0,0,0,-1.803e-6,2.203,90,4.802,838.579,0.001,334.209,0.361,9.148e6,10,78.54,0.05,0.056,0.015
10.649,1574.906,1574.906,117.775,118.704,-33.408,33.556,151.794,0.06,151.794,89.977,14.822,3.152,28.61,-80.598,0.026,-2.66e-4,0.823,0.023,81.812,89.961,1169.027,343,0.162,0.001,9.787,97.115,70.447,2.667,0,0,27.852,0.477,0.259,0.081,0.136,0.477,0.005,0.014,-2.357e-4,0,0,0,0,6.134e-6,2.069,90,4.763,837.978,0.001,334.185,0.356,9.014e6,10,78.54,0.05,0.056,0.015
10.699,1580.753,1580.753,116.125,117.045,-32.631,32.836,152.531,0.061,152.531,89.977,14.649,3.668,28.61,-80.598,0.039,-2.675e-4,-0.148,0.008,81.848,89.959,1169.027,343,0.162,0.001,9.787,97.096,70.447,2.665,0,0,27.038,0.476,0.26,0.081,0.136,0.476,0.008,0.021,3.53e-4,0,0,0,0,-2.033e-7,2.067,90,4.725,837.386,0.001,334.162,0.351,8.884e6,10,78.54,0.05,0.056,0.015
10.749,1586.519,1586.519,114.511,115.42,-31.963,32.17,153.258,0.061,153.258,89.977,14.462,3.639,28.61,-80.598,0.045,-2.665e-4,2.541,0.068,81.783,89.967,1169.027,343,0.162,0.001,9.787,97.083,70.447,2.664,0,0,26.261,0.476,0.26,0.081,0.136,0.476,0.009,0.023,2.772e-4,0,0,0,0,6.178e-5,2.166,90,4.688,836.803,0.001,334.14,0.346,8.758e6,10,78.54,0.05,0.056,0.015
10.799,1592.205,1592.205,112.924,113.828,-31.475,31.571,153.978,0.062,153.978,89.977,14.315,2.463,28.61,-80.598,0.08,-2.538e-4,-1.061,0.032,81.673,89.967,1169.027,343,0.162,0.001,9.787,97.048,70.447,2.66,0,0,25.499,0.476,0.26,0.081,0.135,0.476,0.016,0.041,1.814e-4,0,0,0,0,-1.107e-5,2.053,90,4.651,836.227,0.001,334.117,0.342,8.632e6,10,78.54,0.05,0.056,0.015
10.849,1597.812,1597.812,111.369,112.267,-30.738,30.907,154.69,0.062,154.69,89.977,14.173,3.228,28.61,-80.598,0.017,-2.508e-4,-0.539,0.016,81.681,89.955,1169.027,343,0.162,0.001,9.787,97.089,70.447,2.664,0,0,24.776,0.475,0.26,0.081,0.135,0.475,0.003,0.009,-4.483e-4,0,0,0,0,-2.94e-6,2.146,90,4.614,835.66,0.001,334.095,0.337,8.512e6,10,78.54,0.05,0.056,0.014
10.899,1603.342,1603.342,109.847,110.737,-30.152,30.305,155.395,0.063,155.395,89.977,14.015,3.046,28.61,-80.598,0.007,-2.481e-4,0.152,0.017,81.688,89.959,1169.027,343,0.162,0.001,9.787,97.089,70.447,2.664,0,0,24.067,0.475,0.26,0.08,0.134,0.475,0.001,0.003,-4.437e-4,0,0,0,0,2.409e-7,2.047,90,4.578,835.1,0.001,334.073,0.332,8.391e6,10,78.54,0.05,0.057,0.014
10.949,1608.797,1608.797,108.355,109.237,-29.539,29.718,156.091,0.063,156.091,89.977,13.855,3.256,28.61,-80.598,0.041,-2.452e-4,1.496,0.046,81.65,89.969,1169.027,343,0.162,0.001,9.787,97.055,70.447,2.661,0,0,23.394,0.474,0.26,0.08,0.134,0.474,0.008,0.021,1.745e-4,0,0,0,0,2.39e-5,2.129,90,4.543,834.548,0.001,334.052,0.328,8.275e6,10,78.54,0.05,0.057,0.014
10.999,1614.178,1614.178,106.891,107.765,-29.018,29.172,156.78,0.064,156.78,89.977,13.697,2.993,28.61,-80.598,0.014,-2.515e-4,2.862,0.067,81.534,89.966,1169.027,343,0.162,0.001,9.787,97.068,70.447,2.662,0,0,22.747,0.474,0.26,0.08,0.134,0.474,0.003,0.008,-2.731e-4,0,0,0,0,8.986e-5,2.24,90,4.508,834.003,0.001,334.031,0.324,8.162e6,10,78.54,0.05,0.057,0.014
11.049,1619.487,1619.487,105.451,106.32,-28.57,28.665,157.462,0.064,157.462,89.977,13.568,2.326,28.61,-80.598,0.066,-2.514e-4,-1.383,0.011,81.417,89.959,1169.027,343,0.162,0.001,9.787,97.022,70.447,2.657,0,0,22.113,0.474,0.26,0.08,0.133,0.474,0.013,0.034,1.708e-4,0,0,0,0,-2.156e-5,2.223,90,4.473,833.466,0.001,334.01,0.319,8.049e6,10,78.54,0.05,0.057,0.014
11.099,1624.724,1624.724,104.037,104.902,-27.985,28.116,158.137,0.065,158.137,89.977,13.443,2.713,28.61,-80.598,0.007,-2.5e-4,0.35,0.061,81.404,89.954,1169.027,343,0.162,0.001,9.787,97.061,70.447,2.661,0,0,21.504,0.473,0.26,0.08,0.133,0.473,0.001,0.004,-2.265e-4,0,0,0,0,1.42e-6,2.271,90,4.439,832.936,0.001,333.989,0.315,7.94e6,10,78.54,0.05,0.057,0.013
11.149,1629.891,1629.891,102.651,103.51,-27.476,27.604,158.806,0.065,158.806,89.976,13.309,2.654,28.61,-80.598,0.003,-2.498e-4,0.533,-0.035,81.427,89.961,1169.027,343,0.162,0.001,9.787,97.057,70.447,2.661,0,0,20.906,0.473,0.26,0.08,0.133,0.473,6.794e-4,0.002,2.818e-5,0,0,0,0,3.372e-6,2.16,90,4.406,832.413,0.001,333.969,0.311,7.83e6,10,78.54,0.05,0.057,0.013
11.199,1634.989,1634.989,101.291,102.143,-26.938,27.1,159.468,0.066,159.468,89.976,13.167,2.957,28.61,-80.598,0.049,-2.478e-4,0.64,0.03,81.43,89.97,1169.027,343,0.162,0.001,9.787,97.015,70.447,2.657,0,0,20.337,0.473,0.26,0.08,0.132,0.473,0.01,0.026,-7.707e-5,0,0,0,0,5e-6,2.187,90,4.373,831.897,0.001,333.949,0.307,7.724e6,10,78.54,0.05,0.058,0.013
11.249,1640.02,1640.02,99.953,100.8,-26.571,26.658,160.123,0.066,160.123,89.976,13.041,2.152,28.61,-80.598,0.057,-2.439e-4,-0.328,0.037,81.391,89.966,1169.027,343,0.162,0.001,9.787,97.003,70.447,2.656,0,0,19.772,0.472,0.26,0.08,0.132,0.472,0.011,0.029,-7.068e-5,0,0,0,0,-1.352e-6,1.991,90,4.34,831.388,0.001,333.929,0.303,7.618e6,10,78.54,0.05,0.058,0.013
11.299,1644.985,1644.985,98.636,99.48,-26.095,26.187,160.772,0.067,160.772,89.976,12.934,2.193,28.61,-80.598,0.04,-2.478e-4,1.791,0.07,81.432,89.955,1169.027,343,0.162,0.001,9.787,97.01,70.447,2.656,0,0,19.229,0.472,0.26,0.08,0.132,0.472,0.008,0.021,3.215e-4,0,0,0,0,4.131e-5,1.856,90,4.308,830.885,0.001,333.909,0.299,7.514e6,10,78.54,0.05,0.058,0.013
11.349,1649.884,1649.884,97.344,98.184,-25.579,25.712,161.416,0.067,161.416,89.976,12.813,2.606,28.61,-80.598,0.036,-2.457e-4,-1.774,0.061,81.532,89.955,1169.027,343,0.162,0.001,9.787,97.007,70.447,2.656,0,0,18.705,0.472,0.261,0.08,0.131,0.472,0.007,0.019,-3.097e-4,0,0,0,0,-4.161e-5,1.742,90,4.276,830.389,0.001,333.89,0.295,7.412e6,10,78.54,0.05,0.058,0.013
11.399,1654.72,1654.72,96.077,96.91,-25.137,25.275,162.053,0.068,162.053,89.976,12.68,2.636,28.61,-80.598,0.054,-2.479e-4,0.099,0.032,81.574,89.966,1169.027,343,0.162,0.001,9.787,96.988,70.447,2.654,0,0,18.198,0.471,0.261,0.08,0.131,0.471,0.01,0.027,-2.349e-4,0,0,0,0,1.319e-7,1.643,90,4.244,829.9,0.001,333.871,0.291,7.312e6,10,78.54,0.05,0.058,0.012
11.449,1659.492,1659.492,94.831,95.657,-24.716,24.859,162.684,0.068,162.684,89.976,12.545,2.665,28.61,-80.598,0.067,-2.517e-4,2.468,0.035,81.509,89.969,1169.027,343,0.162,0.001,9.787,96.972,70.447,2.652,0,0,17.717,0.471,0.261,0.08,0.131,0.471,0.013,0.035,-9.311e-5,0,0,0,0,8.485e-5,1.725,90,4.213,829.417,0.001,333.852,0.287,7.216e6,10,78.54,0.05,0.058,0.012
11.499,1664.203,1664.203,93.604,94.424,-24.381,24.481,163.308,0.069,163.308,89.976,12.423,2.213,28.61,-80.598,0.003,-2.499e-4,-3.596,-0.463,81.347,89.959,1169.027,343,0.162,0.001,9.787,97.016,70.447,2.657,0,0,17.251,0.471,0.261,0.079,0.13,0.471,6.347e-4,0.002,-1.141e-4,0,0,0,0,-1.848e-4,1.817,90,4.183,828.94,0.001,333.834,0.284,7.122e6,10,78.54,0.05,0.058,0.012
11.549,1668.853,1668.853,92.392,93.211,-24.082,24.134,163.927,0.069,163.927,89.976,12.331,1.581,28.61,-80.598,0.106,-2.506e-4,-1.472,-0.018,81.209,89.949,1169.027,343,0.162,0.001,9.787,96.931,70.447,2.648,0,0,16.794,0.47,0.261,0.079,0.13,0.47,0.021,0.055,-1.93e-4,0,0,0,0,-3.178e-5,1.783,90,4.152,828.469,0.001,333.815,0.28,7.028e6,10,78.54,0.05,0.059,0.012
11.599,1673.443,1673.443,91.199,92.016,-23.623,23.715,164.541,0.07,164.541,89.976,12.24,2.095,28.61,-80.598,0.01,-2.538e-4,0.598,0.011,81.201,89.954,1169.027,343,0.162,0.001,9.787,97.001,70.447,2.655,0,0,16.355,0.47,0.261,0.079,0.13,0.47,0.002,0.005,2.963e-4,0,0,0,0,5.379e-6,1.861,90,4.123,828.005,0.001,333.797,0.276,6.936e6,10,78.54,0.05,0.059,0.012
11.649,1677.973,1677.973,90.028,90.841,-23.227,23.334,165.15,0.07,165.15,89.976,12.131,2.236,28.61,-80.598,0.026,-2.544e-4,-0.258,0.02,81.226,89.965,1169.027,343,0.162,0.001,9.787,96.983,70.447,2.654,0,0,15.922,0.47,0.261,0.079,0.13,0.47,0.005,0.013,3.113e-4,0,0,0,0,-1.025e-6,1.806,90,4.093,827.546,0.001,333.779,0.273,6.845e6,10,78.54,0.05,0.059,0.012
11.699,1682.446,1682.446,88.875,89.685,-22.881,22.979,165.754,0.071,165.754,89.976,12.022,2.111,28.61,-80.598,0.014,-2.537e-4,0.423,0.01,81.22,89.966,1169.027,343,0.162,0.001,9.787,96.988,70.447,2.654,0,0,15.501,0.47,0.261,0.079,0.129,0.47,0.003,0.007,1.9e-4,0,0,0,0,2.84e-6,1.727,90,4.064,827.094,0.001,333.762,0.269,6.755e6,10,78.54,0.05,0.059,0.012
11.749,1686.861,1686.861,87.742,88.545,-22.476,22.617,166.352,0.071,166.352,89.975,11.904,2.521,28.61,-80.598,0.098,-2.565e-4,2.32,-0.039,81.159,89.957,1169.027,343,0.162,0.001,9.787,96.918,70.447,2.647,0,0,15.106,0.469,0.261,0.079,0.129,0.469,0.019,0.051,-2.004e-4,0,0,0,0,8.738e-5,1.897,90,4.035,826.647,0.001,333.744,0.266,6.669e6,10,78.54,0.05,0.059,0.011
11.799,1691.22,1691.22,86.622,87.423,-22.288,22.339,166.945,0.072,166.945,89.975,11.805,1.499,28.61,-80.598,0.092,-2.594e-4,-2.318,-0.023,81.023,89.953,1169.027,343,0.162,0.001,9.787,96.919,70.447,2.647,0,0,14.705,0.469,0.261,0.079,0.129,0.469,0.018,0.047,-9.988e-5,0,0,0,0,-8.956e-5,1.738,90,4.007,826.206,0.001,333.727,0.263,6.581e6,10,78.54,0.05,0.059,0.011
11.849,1695.524,1695.524,85.518,86.317,-21.87,21.972,167.533,0.072,167.533,89.975,11.715,2.121,28.61,-80.598,0.036,-2.579e-4,1.444,0.002,80.943,89.956,1169.027,343,0.162,0.001,9.787,96.958,70.447,2.651,0,0,14.336,0.469,0.261,0.079,0.129,0.469,0.007,0.019,8.525e-5,0,0,0,0,3.56e-5,1.972,90,3.979,825.77,0.001,333.71,0.26,6.498e6,10,78.54,0.05,0.059,0.011
11.899,1699.772,1699.772,84.433,85.227,-21.571,21.663,168.116,0.073,168.116,89.975,11.611,1.994,28.61,-80.598,0.017,-2.577e-4,2.266,0.108,80.847,89.962,1169.027,343,0.162,0.001,9.787,96.969,70.447,2.652,0,0,13.967,0.469,0.261,0.079,0.129,0.469,0.003,0.009,-8.605e-5,0,0,0,0,8.995e-5,2.018,90,3.951,825.34,0.001,333.693,0.256,6.415e6,10,78.54,0.05,0.06,0.011
11.949,1703.967,1703.967,83.36,84.153,-21.314,21.377,168.694,0.073,168.694,89.975,11.521,1.647,28.61,-80.598,0.049,-2.567e-4,-1.738,0.041,80.741,89.966,1169.027,343,0.162,0.001,9.787,96.939,70.447,2.649,0,0,13.606,0.468,0.261,0.079,0.128,0.468,0.01,0.026,9.608e-5,0,0,0,0,-5.428e-5,1.995,90,3.924,824.915,0.001,333.677,0.253,6.332e6,10,78.54,0.05,0.06,0.011
11.999,1708.108,1708.108,82.301,83.093,-21.041,21.09,169.268,0.074,169.268,89.975,11.446,1.434,28.61,-80.598,0.087,-2.511e-4,0.27,0.022,80.701,89.962,1169.027,343,0.162,0.001,9.787,96.906,70.447,2.646,0,0,13.251,0.468,0.261,0.079,0.128,0.468,0.017,0.046,-1.547e-4,0,0,0,0,1.34e-6,1.901,90,3.897,824.496,0.001,333.661,0.25,6.25e6,10,78.54,0.05,0.06,0.011
12.049,1712.197,1712.197,81.259,82.049,-20.655,20.752,169.839,0.074,169.839,89.975,11.36,2.007,28.61,-80.598,0.048,-2.496e-4,-0.774,-0.001,80.741,89.956,1169.027,343,0.162,0.001,9.787,96.932,70.447,2.649,0,0,12.913,0.468,0.261,0.079,0.128,0.468,0.009,0.025,-2.375e-4,0,0,0,0,-1.132e-5,1.958,90,3.871,824.082,0.001,333.645,0.247,6.17e6,10,78.54,0.05,0.06,0.011
12.099,1716.235,1716.235,80.235,81.02,-20.332,20.455,170.404,0.075,170.404,89.975,11.251,2.241,28.61,-80.598,0.112,-2.561e-4,1.459,0.002,80.728,89.956,1169.027,343,0.162,0.001,9.787,96.879,70.447,2.643,0,0,12.585,0.468,0.261,0.079,0.128,0.468,0.022,0.058,-1.366e-4,0,0,0,0,4.125e-5,2.008,90,3.844,823.674,0.001,333.629,0.244,6.092e6,10,78.54,0.05,0.06,0.01
12.149,1720.221,1720.221,79.222,80.004,-20.162,20.22,170.964,0.075,170.964,89.975,11.157,1.538,28.61,-80.598,0.042,-2.558e-4,-2.337,0.001,80.619,89.959,1169.027,343,0.162,0.001,9.787,96.93,70.447,2.648,0,0,12.256,0.468,0.261,0.079,0.128,0.468,0.008,0.022,-3.873e-4,0,0,0,0,-1.086e-4,1.872,90,3.819,823.27,0.001,333.613,0.241,6.012e6,10,78.54,0.05,0.06,0.01
12.199,1724.157,1724.157,78.22,79.002,-19.934,19.973,171.52,0.076,171.52,89.975,11.089,1.259,28.61,-80.598,0.102,-2.502e-4,-0.446,-5.085e-4,80.545,89.959,1169.027,343,0.162,0.001,9.787,96.88,70.447,2.643,0,0,11.939,0.467,0.261,0.079,0.127,0.467,0.02,0.052,7.923e-5,0,0,0,0,-4.059e-6,1.795,90,3.793,822.872,0.001,333.597,0.238,5.934e6,10,78.54,0.05,0.061,0.01
12.249,1728.043,1728.043,77.231,78.013,-19.601,19.673,172.073,0.076,172.073,89.975,11.015,1.681,28.61,-80.598,0.01,-2.515e-4,-0.682,-0.002,80.561,89.957,1169.027,343,0.162,0.001,9.787,96.948,70.447,2.65,0,0,11.636,0.467,0.261,0.079,0.127,0.467,0.002,0.005,-4.254e-4,0,0,0,0,-9.718e-6,1.838,90,3.768,822.478,0.001,333.582,0.235,5.859e6,10,78.54,0.05,0.061,0.01
12.299,1731.88,1731.88,76.258,77.037,-19.347,19.415,172.621,0.077,172.622,89.975,10.932,1.632,28.61,-80.598,0.009,-2.516e-4,-0.443,0.016,80.589,89.953,1169.027,343,0.162,0.001,9.787,96.945,70.447,2.65,0,0,11.334,0.467,0.261,0.079,0.127,0.467,0.002,0.004,3.886e-4,0,0,0,0,-4.212e-6,1.72,90,3.743,822.09,0.001,333.567,0.232,5.783e6,10,78.54,0.05,0.061,0.01
12.349,1735.669,1735.669,75.297,76.074,-19.092,19.162,173.166,0.077,173.166,89.974,10.85,1.638,28.61,-80.598,0.022,-2.511e-4,-0.067,-0.003,80.602,89.95,1169.027,343,0.162,0.001,9.787,96.932,70.447,2.648,0,0,11.041,0.467,0.261,0.079,0.127,0.467,0.004,0.012,4.853e-4,0,0,0,0,-9.976e-8,1.642,90,3.718,821.707,0.001,333.552,0.229,5.708e6,10,78.54,0.05,0.061,0.01
12.399,1739.41,1739.41,74.349,75.124,-18.828,18.911,173.706,0.078,173.706,89.974,10.765,1.762,28.61,-80.598,0.065,-2.51e-4,0.942,-0.012,80.584,89.949,1169.027,343,0.162,0.001,9.787,96.895,70.447,2.645,0,0,10.761,0.467,0.261,0.079,0.127,0.467,0.013,0.033,2.722e-4,0,0,0,0,2.002e-5,1.653,90,3.694,821.328,0.001,333.537,0.226,5.636e6,10,78.54,0.05,0.061,0.01
12.449,1743.104,1743.104,73.413,74.186,-18.628,18.691,174.243,0.078,174.243,89.974,10.682,1.524,28.61,-80.598,0.01,-2.523e-4,1.77,-0.07,80.511,89.951,1169.027,343,0.162,0.001,9.787,96.935,70.447,2.649,0,0,10.485,0.466,0.261,0.078,0.126,0.466,0.002,0.005,-1.93e-4,0,0,0,0,7.243e-5,1.601,90,3.67,820.954,0.001,333.523,0.223,5.563e6,10,78.54,0.05,0.061,0.01
12.499,1746.752,1746.752,72.488,73.259,-18.35,18.443,174.775,0.079,174.775,89.974,10.597,1.855,28.61,-80.598,0.107,-2.548e-4,3.03,0.02,80.398,89.955,1169.027,343,0.162,0.001,9.787,96.856,70.447,2.641,0,0,10.228,0.466,0.262,0.078,0.126,0.466,0.021,0.055,5.331e-5,0,0,0,0,2.174e-4,1.806,90,3.646,820.585,0.001,333.508,0.221,5.495e6,10,78.54,0.05,0.061,0.009
12.549,1750.353,1750.353,71.575,72.343,-18.182,18.246,175.302,0.079,175.302,89.974,10.512,1.525,28.61,-80.598,0.018,-2.553e-4,4.33,0.168,80.207,89.959,1169.027,343,0.162,0.001,9.787,96.922,70.447,2.647,0,0,9.971,0.466,0.262,0.078,0.126,0.466,0.004,0.009,5.074e-5,0,0,0,0,4.552e-4,1.867,90,3.623,820.22,0.001,333.494,0.218,5.426e6,10,78.54,0.05,0.062,0.009
12.599,1753.909,1753.909,70.67,71.438,-18.009,18.055,175.826,0.08,175.826,89.974,10.442,1.278,28.61,-80.598,0.051,-2.559e-4,-3.936,0.067,79.995,89.96,1169.027,343,0.162,0.001,9.787,96.894,70.447,2.645,0,0,9.722,0.466,0.262,0.078,0.126,0.466,0.01,0.027,1.114e-4,0,0,0,0,-3.854e-4,1.96,90,3.6,819.86,0.001,333.48,0.215,5.358e6,10,78.54,0.05,0.062,0.009
12.649,1757.42,1757.42,69.775,70.543,-17.81,17.851,176.347,0.08,176.347,89.974,10.38,1.22,28.61,-80.598,0.066,-2.56e-4,-2.727,0.033,79.828,89.958,1169.027,343,0.162,0.001,9.787,96.879,70.447,2.643,0,0,9.48,0.466,0.262,0.078,0.126,0.466,0.013,0.035,4.06e-4,0,0,0,0,-1.897e-4,2.056,90,3.577,819.505,0.001,333.466,0.213,5.291e6,10,78.54,0.05,0.062,0.009
12.699,1760.887,1760.887,68.888,69.658,-17.661,17.682,176.864,0.081,176.864,89.974,10.33,0.861,28.61,-80.598,0.17,-2.599e-4,-0.4,0.019,79.743,89.952,1169.027,343,0.162,0.001,9.787,96.796,70.447,2.635,0,0,9.234,0.466,0.262,0.078,0.126,0.466,0.033,0.088,-4.462e-4,0,0,0,0,-4.183e-6,1.925,90,3.554,819.154,0.001,333.453,0.21,5.222e6,10,78.54,0.05,0.062,0.009
12.749,1764.309,1764.309,68.011,68.784,-17.393,17.435,177.38,0.081,177.38,89.974,10.279,1.21,28.61,-80.598,0.052,-2.595e-4,1.711,0.032,79.785,89.949,1169.027,343,0.162,0.001,9.787,96.885,70.447,2.644,0,0,8.998,0.466,0.262,0.078,0.126,0.466,0.01,0.027,7.855e-5,0,0,0,0,7.854e-5,1.913,90,3.532,818.808,0.001,333.439,0.207,5.156e6,10,78.54,0.05,0.062,0.009
12.799,1767.688,1767.688,67.149,67.92,-17.103,17.19,177.892,0.082,177.892,89.974,10.205,1.729,28.61,-80.598,0.129,-2.611e-4,-0.953,0.015,79.863,89.95,1169.027,343,0.162,0.001,9.787,96.822,70.447,2.638,0,0,8.772,0.465,0.262,0.078,0.125,0.465,0.025,0.067,-1.557e-4,0,0,0,0,-2.5e-5,1.957,90,3.51,818.466,0.001,333.426,0.205,5.09e6,10,78.54,0.05,0.062,0.009
12.849,1771.025,1771.025,66.301,67.066,-16.843,16.978,178.4,0.082,178.4,89.974,10.106,2.136,28.61,-80.598,0.275,-2.602e-4,2.717,0.017,79.828,89.955,1169.027,343,0.162,0.001,9.787,96.707,70.447,2.626,0,0,8.557,0.465,0.262,0.078,0.125,0.465,0.054,0.142,-1.654e-4,0,0,0,0,2.08e-4,2.12,90,3.488,818.128,0.001,333.413,0.202,5.028e6,10,78.54,0.043,0.063,0.009
12.892,1773.892,1773.892,65.571,66.332,-16.74,16.835,178.837,0.082,178.837,89.974,10.019,1.789,28.61,-80.598,0.167,-2.604e-4,6.034,0.028,79.631,89.957,1169.027,343,0.162,0.001,9.787,96.789,70.447,2.634,0,0,8.369,0.465,0.262,0.078,0.125,0.465,0.033,0.084,-1.122e-4,0,0,0,0,0.001,2.175,90,3.47,817.838,0.001,333.402,0.2,4.973e6,10,78.54,0.05,0.063,0.009
12.942,1777.15,1777.15,64.735,65.495,-16.71,16.736,179.336,0.083,179.336,89.974,9.951,0.942,28.61,-80.598,0.126,-2.615e-4,-6.379,0.041,79.302,89.959,1169.027,343,0.162,0.001,9.787,96.818,70.447,2.637,0,0,8.154,0.465,0.262,0.078,0.125,0.465,0.024,0.066,2.521e-4,0,0,0,0,-0.001,2.131,90,3.449,817.508,0.001,333.389,0.198,4.908e6,10,78.54,0.05,0.063,0.008
12.992,1780.366,1780.366,63.901,64.666,-16.592,16.604,179.833,0.083,179.833,89.973,9.914,0.633,28.61,-80.598,0.237,-2.653e-4,-3.209,0.019,79.057,89.958,1169.027,343,0.162,0.001,9.787,96.729,70.447,2.628,0,0,7.948,0.465,0.262,0.078,0.125,0.465,0.046,0.122,7.334e-5,0,0,0,0,-3.119e-4,2.167,90,3.428,817.183,0.001,333.376,0.195,4.846e6,10,78.54,0.05,0.063,0.008
13.042,1783.54,1783.54,63.077,63.846,-16.395,16.412,180.328,0.084,180.328,89.973,9.881,0.738,28.61,-80.598,0.196,-2.635e-4,0.271,0.016,78.987,89.954,1169.027,343,0.162,0.001,9.787,96.759,70.447,2.631,0,0,7.745,0.465,0.262,0.078,0.125,0.465,0.038,0.1,1.793e-4,0,0,0,0,2.278e-6,2.171,90,3.407,816.861,0.001,333.364,0.193,4.784e6,10,78.54,0.05,0.063,0.008
13.092,1786.673,1786.673,62.263,63.035,-16.136,16.179,180.821,0.084,180.821,89.973,9.834,1.185,28.61,-80.598,0.018,-2.657e-4,1.952,0.085,79.053,89.951,1169.027,343,0.162,0.001,9.787,96.894,70.447,2.645,0,0,7.547,0.465,0.262,0.078,0.125,0.465,0.004,0.01,-2.268e-4,0,0,0,0,1.214e-4,2.188,90,3.387,816.544,0.001,333.351,0.19,4.723e6,10,78.54,0.05,0.063,0.008
